1,"Abdullah, Ameer",RB,Minnesota,Nebraska
2,"Adams, Davante",WR,Green Bay,Fresno State
3,"Adams, Jerell",TE,Baltimore,South Carolina
4,"Adams, Josh",RB,NY Jets,Notre Dame
5,"Adams, Rodney",WR,Chicago,South Florida
6,"Adeboyejo, Quincy",WR,New England,Mississippi
7,"Adeoye, Aaron",TE,Baltimore,Southeast Missouri State
8,"Agholor, Nelson",WR,Las Vegas,Southern California
9,"Ahmed, Salvon",RB,Miami,Washington
10,"Aiyuk, Brandon",WR,San Francisco,Arizona State
11,"Akers, Cam",RB,LA Rams,Florida State
12,"Akins, Jordan",TE,Houston,Central Florida
13,"Alie-Cox, Mo",TE,Indianapolis,Virginia Commonwealth
14,"Allen, Brandon",QB,Cincinnati,Arkansas
15,"Allen, Josh",QB,Buffalo,Wyoming
16,"Allen, Keenan",WR,LA Chargers,California
17,"Allen, Kyle",QB,Washington,Houston
18,"Allison, Geronimo",WR,Detroit,Illinois
19,"Amendola, Danny",WR,Detroit,Texas Tech
20,"Anderson, Bruce",RB,Indianapolis,North Dakota State
21,"Anderson, Darius",RB,Indianapolis,Texas Christian
22,"Anderson, Robby",WR,Carolina,Temple
23,"Anderson, Stephen",TE,LA Chargers,California
24,"Andrews, Mark",TE,Baltimore,Oklahoma
25,"Arcega-Whiteside, J.J.",WR,Philadelphia,Stanford
26,"Armstead, Ryquell",RB,Jacksonville,Temple
27,"Arnold, Dan",WR,Arizona,Wisconsin-Platteville
28,"Asiasi, Devin",TE,New England,UCLA
29,"Ateman, Marcell",WR,Las Vegas,Oklahoma State
30,"Auclair, Antony",TE,Tampa Bay,Laval
31,"Austin, Tavon",WR,San Francisco,West Virginia
32,"Badet, Jeff",WR,Washington,Oklahoma
33,"Badgley, Michael",K,LA Chargers,Miami
34,"Bailey, Dan",K,Minnesota,Oklahoma State
35,"Ballage, Kalen",RB,NY Jets,Arizona State
36,"Barber, Peyton",RB,Washington,Auburn
37,"Bargas, Jake",RB,Minnesota,North Carolina
38,"Barkley, Matt",QB,Buffalo,Southern California
39,"Barkley, Saquon",RB,NY Giants,Penn State
40,"Barner, Kenjon",RB,Tampa Bay,Oregon
41,"Bass, Tyler",K,Buffalo,Georgia Southern
42,"Batson, Cameron",WR,Tennessee,Texas Tech
43,"Baugh, Marcus",TE,Washington,Ohio State
44,"Bawden, Nick",RB,Detroit,San Diego State
45,"Bayless, Omar",WR,Carolina,Arkansas State
46,"Beal, Sam",WR,NY Giants,Western Michigan
47,"Beasley, Cole",WR,Buffalo,Southern Methodist
48,"Beathard, C.J.",QB,San Francisco,Iowa
49,"Beck, Andrew",TE,Denver,Texas
50,"Becker, Nate",TE,Buffalo,Miami (OH)
51,"Beckham Jr., Odell",WR,Cleveland,Louisiana State
52,"Beebe, Chad",WR,Minnesota,Northern Illinois
53,"Begelton, Reggie",WR,Green Bay,Lamar
54,"Bell, Blake",TE,Dallas,Oklahoma
55,"Bell, Le'Veon",RB,NY Jets,Michigan State
56,"Bellamy, LeVante",RB,Denver,Western Michigan
57,"Benjamin, Eno",RB,Arizona,Arizona State
58,"Benjamin, Travis",WR,San Francisco,Miami
59,"Benkert, Kurt",QB,Atlanta,Virginia
60,"Benson, Trinity",WR,Denver,East Central (OK)
61,"Bernard, Giovani",RB,Cincinnati,North Carolina
62,"Berrios, Braxton",WR,NY Jets,Miami
63,"Berry, Rashod",TE,New England,Ohio State
64,"Blake, Christian",WR,Atlanta,Northern Illinois
65,"Blankenship, Rodrigo",K,Indianapolis,Georgia
66,"Blanton, Kendall",TE,LA Rams,Missouri
67,"Blasingame, Khari",RB,Tennessee,Vanderbilt
68,"Blough, David",QB,Detroit,Purdue
69,"Board, C.J.",WR,NY Giants,Tennessee-Chattanooga
70,"Bolden, Brandon",RB,New England,Mississippi
71,"Bonnafon, Reggie",RB,Carolina,Louisville
72,"Booker, Devontae",RB,Las Vegas,Utah
73,"Boone, Mike",RB,Minnesota,Cincinnati
74,"Bortles, Blake",QB,Denver,Central Florida
75,"Boswell, Chris",K,Pittsburgh,Rice
76,"Bourne, Kendrick",WR,San Francisco,Eastern Washington
77,"Bowden, Lynn",WR,Miami,Kentucky
78,"Bowers, Nick",TE,Las Vegas,Penn State
79,"Boyd, Tyler",WR,Cincinnati,Pittsburgh
80,"Boykin, Miles",WR,Baltimore,Notre Dame
81,"Boyle, Nick",TE,Baltimore,Delaware
82,"Boyle, Tim",QB,Green Bay,Eastern Kentucky
83,"Bradley, Ja'Marcus",WR,Cleveland,Louisiana-Lafayette
84,"Bradwell, Darius",RB,LA Chargers,Tulane
